Manufacturer,Model,Description,AorM,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Euro standard,Noise Level dB(A),Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [No.] [mg/km],Date of change,Fuel Cost 12000 Miles,Tax band,Standard 12 months,Standard 6 Months,1st year 12 months,1st year 6 months,,,
KIA,Sedona,2.2 CRDi Auto,Automatic,A4,2199,Diesel,10.0,6.2,7.5,28.2,45.6,37.7,199,4,72.0,0.070,,0.286,0.317,0.001,,"£2,127.09",J,£250.00,£137.50,£460.00,NA,,,
KIA,Sedona,2.2 CRDi Manual,Manual,M6,2199,Diesel,8.8,5.6,6.7,32.1,50.4,42.2,179,4,73.0,0.091,,0.299,0.328,0.001,,"£1,900.27",I,£215.00,£118.25,£325.00,NA,,,
SSANGYONG,Rexton II,270 CS Auto TOD 165PS 2 Seats,Automatic,5AT,2696,Diesel,12.2,8.4,9.8,23.2,33.6,28.8,250,4,70.5,0.200,,0.310,0.330,0.040,,"£2,784.43",L,£460.00,£253.00,£815.00,NA,,,
SSANGYONG,Rexton II,270 CS Manual TOD 165PS 2 Seats,Manual,5MT,2696,Diesel,11.5,7.5,9.0,24.6,37.7,31.4,228,4,74.7,0.390,,0.260,0.320,0.030,,"£2,553.87",L,£460.00,£253.00,£815.00,NA,,,
SSANGYONG,Rexton II,270 EX Auto TOD 165PS 7 Seats,Automatic,5AT,2696,Diesel,12.2,8.4,9.8,23.2,33.6,28.8,249,4,70.5,0.200,,0.310,0.330,0.040,,"£2,784.43",L,£460.00,£253.00,£815.00,NA,,,
SSANGYONG,Rexton II,270 S Auto TOD 165PS 7 Seats,Automatic,5AT,2696,Diesel,12.2,8.4,9.8,23.2,33.6,28.8,250,4,70.5,0.200,,0.310,0.330,0.040,,"£2,784.43",L,£460.00,£253.00,£815.00,NA,,,
SSANGYONG,Rexton II,270 S Manual TOD 165PS 7 Seats,Manual,5MT,2696,Diesel,11.5,7.5,9.0,24.6,37.7,31.4,228,4,74.7,0.390,,0.260,0.320,0.030,,"£2,553.87",L,£460.00,£253.00,£815.00,NA,,,
SSANGYONG,Rodius,270 ES Auto 2WD 165PS 7 Seats,Automatic,5AT,2696,Diesel,12.8,7.9,9.7,22.1,35.8,29.1,247,4,71.9,0.270,,0.310,0.330,0.040,,"£2,755.72",L,£460.00,£253.00,£815.00,NA,,,
SSANGYONG,Rodius,270 ES Manual 2WD 165PS 7 Seats,Manual,5MT,2696,Diesel,11.2,7.4,8.8,25.2,38.2,32.1,223,4,73.9,0.420,,0.250,0.290,0.040,,"£2,498.18",K,£270.00,£148.50,£600.00,NA,,,
SSANGYONG,Rodius,270 EX Auto TOD 165PS 7 Seats,Automatic,5AT,2696,Diesel,13.0,8.0,9.8,21.7,35.5,28.8,250,4,70.5,0.350,,0.290,0.340,0.040,,"£2,784.43",L,£460.00,£253.00,£815.00,NA,,,
SSANGYONG,Rodius,270 S Manual 2WD 165PS 7 Seats,Manual,5MT,2696,Diesel,11.2,7.4,8.8,25.2,38.2,32.1,223,4,73.9,0.420,,0.250,0.290,0.040,,"£2,498.18",K,£270.00,£148.50,£600.00,NA,,,
